Id,Project,SATD comment,On-hold or not
186,Tomcat project,"/** This will create mbeans based on a config file.
  * The format is an extended version of MLET.
  *
  * Classloading. We don't support any explicit classloader tag.
  * A ClassLoader is just an mbean ( it can be the standard MLetMBean or
  * a custom one ).
  *
  * XXX add a special attribute to reference the loader mbean,
  * XXX figure out how to deal with private loaders
  *
  * @deprecated Unused: Will be removed in Tomcat 8.0.x
  */",yes
187,Tomcat project,"/** This will create mbeans based on a config file.
  * The format is an extended version of MLET.
  *
  * Classloading. We don't support any explicit classloader tag. 
  * A ClassLoader is just an mbean ( it can be the standard MLetMBean or
  * a custom one ). 
  * 
  * XXX add a special attribute to reference the loader mbean,
  * XXX figure out how to deal with private loaders
  */",no
188,Gerrit project,/** TODO: Unused now. Re-enable this after implementing auto-save */,no
189,Tomcat project,//  TODO isRuntimeVisible,no
190,Tomcat project,// ------------------------------------------------------------- TODO SERVLET 3.1 IN PROGRESS,no
191,Tomcat project,// ------------------------------------------------------------- TODO SERVLET 3.1 IN PROGRESS,no
192,Camel project,// @deprecated will be removed on Camel 2.0 // the code below is kinda hard to maintain. We should strive to remove // this stuff in Camel 2.0 to keep this component simple and no surprises for end-users // this stuff is not persistent so restarting Camel will reset the state,yes
193,Tomcat project,"// // I don't think this will be used in future // charBuffer.append(path, // semicolon, pos - semicolon); // }",no
194,Hadoop project,"// // private static final Log LOG = LogFactory // .getLog(TestLinuxContainerExecutor.class); // // // TODO: FIXME // private static File workSpace = new File(""target"", // TestLinuxContainerExecutor.class.getName() + ""-workSpace""); // // @Before",no
195,Tomcat project,"// // Real proxy - extract client address, modify the uri. // // TODO: optimize the strings. // int start = origURI.indexOf('/', 7); // String hostPortS = (start == -1) ?",no
196,Camel project,"// // Sets up 2 consumers on single topic, one being transacted the other not. Used to verify // That each consumer can have independently configured transaction settings. // Do a rollback, should cause the transacted consumer to re-deliver (since we are using a durable subscription) but not the un-transacted one. // TODO: find out why re-delivery is not working with a non durable transacted topic.",no
197,Camel project,// // TODO Auto-generated method stub // // } // // } // // private class NotRedeliveredProcessor implements Processor {,no
198,Camel project,"// // TODO since we only need a session pool for one use case, find a better way // // We only create a session pool when we are not transacted. // Transacted listeners or producers need to be paired with the // Session that created them.",no
199,Camel project,// // TODO: find out how to have these two within an <xsd:choice> //,no
200,Tomcat project,"// // TODO: this should move to deploy - if not set, there is no point // File f = new File(contextConfig.fileName);",no
201,Tomcat project,// //TODO SERVLET3 - async,no
202,Log4j project,// ============================================ // TODO remove this WIP node once we're statisfied,no
203,Hadoop project,// 1. create snapshot // TODO: we also need to check creating snapshot for a directory under a // snapshottable directory,no
204,Tomcat project,// 500 - Internal Server Error // TODO Log this properly,no
205,Camel project,// A workaround where the Jetty client does not like to see // urls like http://google.com but does like http://google.com/,no
206,Camel project,// add intercept strategy that executes the JMX instrumentation for performance metrics // TODO: We could do as below with an inlined implementation instead of a separate class,no
207,Camel project,"// add to rest registry so we can keep track of them, we will remove from the registry when the consumer is removed // TODO: need to be able to unregister from the registry",no
208,Camel project,"// added ""JMSXRecvTimestamp"" as a workaround for an Oracle bug/typo in AqjmsMessage",yes
209,Camel project,// an exception occured while processing // TODO: Camel-585 somekind of flag to determine if we should send the exchange back to the client // or do as new wrap as runtime exception to be thrown back to spring so it can do rollback,no
210,Camel project,// an exception occured while processing // TODO: Camel-585 somekind of flag to determine if we should send the exchange back to the client // or do as now where we wrap as runtime exception to be thrown back to spring so it can do rollback,no
211,Tomcat project,// Annotation // TODO isRuntimeVisible,no
212,Tomcat project,// Annotation // TODO: isRuntimeVisible ?????????? // FIXME,no
213,Tomcat project,"// as a hack, you can use a static file - and generate the same // session ids ( good for strange debugging )",no
214,Tomcat project,// Assume the GSSContext is stateless // TODO: Confirm this assumption,no
215,Gerrit project,"// Assume the schema doesn't exist, and create it. // TODO Implement schema upgrades and/or exporting to a script file. //",no
216,Tomcat project,// Attributes of the current message // TODO: May need a new ByteBuffer per message,no
217,Camel project,// base the osgi type converter on the default type converter // TODO: Why is it based on the DefaultPackageScanClassResolver and not OsgiPackageScanClassResolver?,no
218,Tomcat project,// Blocking // TODO: use socket pool // TODO: cache it ( and TTL ) in hi,no
219,Tomcat project,// buffer.addActiveFilter(gzipIF); // } // // TODO: other encoding filters // // TODO: this should be separate layer // },no
220,Tomcat project,// Cheat - we know roughly how big the class will be (~1K) but allow // plenty room to grow // TODO Let buffer grow as required,no
221,Gerrit project,// Common // TODO: Handle skips.,no
222,Tomcat project,// Common attributes ( XXX should be notes for flexibility ? ),no
223,Camel project,// Configured fields // TODO: can we make these private and have getter/setter,no
224,Camel project,"// consumer is not set, this is produce only websocket // TODO - 06.06.2011, LK - deliver exchange to dead letter channel",no
225,Camel project,"// content type should match // TODO: content type does not work with geronomi mail jar (its a buggy jar, use SUN mail jar instead)",no
226,Camel project,"// content type should match // TODO: content type does not work with geronomi mail jar (its a buggy jar, use SUN mail jar instead) // assertEquals(""image/jpeg; name=logo.jpeg"", handler.getContentType());",no
227,Tomcat project,// continue to unwrap as long as the input buffer has stuff // TODO: unwrap appears only to unwrap one TLS record at // a time even if there are multiple TLS records // in the input buffer. Therefore multiple calls // to unwrap are required to ensure that all TLS // records are decrypted and written to dst. // This may be a bug in tc-native or something // that is better handled at that level. For now // the '|| unwrap.getStatus() == Status.OK' is a // workaround.,no
228,Tomcat project,"// Coyote-specific hooking. // This could be moved out to a separate class, TomcatLite can // work without it.",no
229,Tomcat project,// create a class loader. // TODO: reimplement special 'deploy' dirs,no
230,Tomcat project,// create a class loader. // TODO: reimplement special 'deploy' dirs,no
231,Camel project,"// create a thread pool from low // TODO check newThreadPool(this, ""MyLow"", ""low"");",no
232,Tomcat project,// Create HTTP connection // TODO,no
233,Camel project,// create the consumer directly from the component that supports rest binding // TODO: should we have a RestBindingConsumer class that delegates to the actual consumer? // TODO: what if there is 2+ RestBindingCapable components in the registry?,no
234,Camel project,// create the output processor // TODO: This should be mandatory (but ExceptionHandlerStreamCacheTest fails),no
235,Tomcat project,"// Currently, we do not delegate SSL computation tasks // TODO: in the future, possibly create tasks to do encrypt / decrypt async",no
236,Camel project,"// data types // TODO: why do we have this for data types, and only these 4 out of the 10+ data types we have in total?",no
237,Tomcat project,"// Declare temporary scripting variables // XXX - Actually there is no need to declare those // ""_jspx_"" + varName + ""_"" + nestingLevel variables when we are // inside a JspFragment.",no
238,Gerrit project,// defer attribute here is to workaround IE running immediately. //,no
239,Tomcat project,// display-name - TODO should support multiple with language,no
240,Tomcat project,"// do nothing - we are just cleaning up, this is // a workaround for Netscape \n\r in POST - it is supposed // to be ignored",no
241,Tomcat project,// Do this last as it depends on servlets // TODO,no
242,Log4j project,// Doesn't work on DOM Level 1 : // Element element = doc.getElementById(appenderName); // Endre's hack:,no
243,Tomcat project,// ejb-local-ref // TODO: Should support multiple description elements with language,no
244,Tomcat project,// ejb-ref // TODO: Should support multiple description elements with language,no
245,Hadoop project,// End of HADOOP-6386 workaround,no
246,Tomcat project,// End of TCK hack,no
247,Tomcat project,// End the response status line // TODO o.a.coyoye.http11.Constants is pre-loaded. Can we drop this?,no
248,Log4j project,// Endre's hack:,no
249,Tomcat project,// env-entry // TODO: Should support multiple description elements with language,no
250,Log4j project,// er.. how much do we actually need to copy? // We should not copy more than the actual number of elements.,no
